category,lat,long,comment,timeToPerse
BPD_tweets,NA,NA,"If you’re protesting in Boston this evening, please know our #1 priority is to keep everybody safe. Our officers are out in full force to guard and protect everyone’s rights. And, while everyone has a right to free speech, nobody has the right to hurt or harm people or property.",2020-05-31T18:02:00Z
protester,42.329842,-71.084460000000007,dudley station,2020-05-31T18:30:00Z
BPD_tweets,NA,NA,"If you’re protesting in Boston this evening, please know the men and women of the #BPD encourage you to exercise and express your right to free speech. But, with one small ask. Please exercise that right in a manner that is safe, peaceful and respectful to all involved.",2020-05-31T18:32:00Z
protester,42.336521,-71.076934,seven eleven,2020-05-31T18:55:00Z
protester,42.346612,-71.064592,route 90 enter,2020-05-31T19:35:00Z
protester,42.347361,-71.06442,route 90 exit,2020-05-31T19:50:00Z
protester,42.354338,-71.061715,RUKA intersection,2020-05-31T20:00:00Z
protester,42.355272,-71.063467,"inside the park, Tremont st",2020-05-31T20:11:00Z
protester,42.356964,-71.065019,"inside the park, Beacon st, stopped for 10 mins",2020-05-31T20:19:00Z
protester,42.357452,-71.063388,State house,2020-05-31T20:27:00Z
protester,42.357452,-71.063388,everthing ended,2020-05-31T20:52:00Z
bodycam,42.35538,-71.0604,An officer seen spraying a male elderly protester,2020-05-31T21:11:04Z
BPD_tweets,NA,NA,Protestors in the area of Winter and Washington Streets are asked to refrain from throwing dangerous projectiles including glass bottles and frozen water bottles at our officers.,2020-05-31T21:14:00Z
bodycam,42.35616,-71.06223,Many officers pushing some protesters in the corner,2020-05-31T21:16:56Z
bodycam,42.35653,-71.062,"""Start spraying the fuckers."" Northeastern police seen",2020-05-31T21:21:13Z
mbta,42.3564863,-71.06235671,Park Street,2020-05-31T21:22:00Z
mbta,42.3555494,-71.06037843,Downtown Crossing,2020-05-31T21:22:00Z
bodycam,42.35525,-71.06326,"Officers approaching the protesters and an officer widely spraying the protesters, Boston Police seen, most characteristics match with the location",2020-05-31T21:23:23Z
bodycam,42.35511,-71.06336,Multiple officers on or pushing bikes approaching aggressively to a protester,2020-05-31T21:26:45Z
bodycam,42.35432,-71.06174,"An officer grabs a protester's hoddy, the same scene as footage #18",2020-05-31T21:29:13Z
BPD_tweets,NA,NA,"Reports of protestors now throwing rocks and bricks at officers along Tremont Street. Again, protestors asked to refrain from hurting and harming police officers.",2020-05-31T21:32:00Z
